id_publicacion,id_city,house_lat,house_long,rooms,bathrooms,squared_meters,builded_squared_meters,house_details,address,price
666625347,29,25.794521,-100.3134,3,2,105,114,"Residencial Aviana Excelente fraccionamiento!! Casa de 2 plantas, 3 recamaras en fraccionamiento privado con caseta de Vigilancia, con la mejores vías de acceso en Escobedo. A 5 minutos de Plazas Outlet, Barragán y Sendero. Ademas cuenta con Club Deportivo dentro de la Zona (equipado con Gimnasio, Alberca, Asadores, Canchas y mas...) La casa cuenta con vista al Club Residencial Aviana, acabados de lujo, techos altos, puerta de seguridad, ventanas amplias con protectores y cerco eléctrico. Planta baja: cochera sala comedor cocina 1/2 baño Bodeguita lavandería techada pasillo lateral y patio planta alta: recamara principal con baño vestidor 2 recamaras secundarias y baño completo Para más información contáctanos. Otras Caracteristicas: Asador: SI. Area de lavandería: SI. Caseta de guardia: SI. Cerca eléctrica: SI. Patio: 1. Urbanización privada: SI. Area de eventos: SI. Area deportiva: SI. Cancha(s): SI. Extractor de olores: SI. Cortinas/Persianas: SI. Servicios básicos (agua/luz): SI. Cancha de tenis: SI. Salón de usos múltiples: SI. Centros Comerciales Cercanos: SI. Chapoteadero: SI. Número de pisos: 2. Walk in closet: SI.","Privada Residencia Hacienda Anáhuac, San Nicolás De Los Garza, Nuevo León",1380000.00
666625351,30,25.784138,-100.4234,4,2,99,127,"Casa muy amplia y finamente decorada Planta baja * Cochera techada para 1 carro con reja * Pórtico con reja * Espaciosa sala y comedor con dos abanicos de techo * Cocina integral ampliada de madera de pino nueva y con espacio para refrigerador duplex, espacio para lavavajillas, espacio para estufa y campana. * Lavandería techada * Medio baño Planta alta * Recámara principal con baño y closet muy amplio de pino, incluye minisplit de 1 tonelada * Recámara secundaria con closet de manera de pino y minisplit * Dos recámaras más con closet de madera de pino * Baño que comparten las dos recámaras secundarias * Una estancia muy amplia que puede usarse cómo quinta recámara, estancia o oficina. La casa esta valuada en más de 1'500,000.00 por los metros de construcción, todos los closets, cocina integral y dos climas. El sector tiene una palapa muy amplia para eventos, la cancha de fútbol con cerca y juegos infantiles muy bonitos y cuidados. La seguridad es de las mejores, ya que los guardias hablan a la casa para poder dejar pasar a las visitas, es decir no entra gente externa. Otras Caracteristicas: Asador: SI. Caseta de guardia: SI. Seguridad privada: SI. Cancha(s): SI. Parque privado de la barriada: SI.","Mitras Poniente Sector Guadalcazar, García, Nuevo León",1260000.00
666625363,30,25.784646,-100.4305,3,1,124,94,"Casa en venta Mitras Poniente Sector Ensenada Excelente ubicación en esquina y con terreno excedente!! No pierdas la oportunidad disponible para todo tipo de crédito La casa cuenta con lo siguiente: Planta baja * Cochera para un carro * Sala comedor con ventanal al patio * Medio baño * Patio trasero muy amplio * Patio de lado Planta alta * Recámara secundaria con minisplit mirage * Recámara principal con roperia * Recámara secundaria con espacio para closet * Baño completo La casa tiene una excelente iluminación por su ventanal al patio lateral. Disfruta de tus carnes asadas en el amplio patio. La privada tiene cancha de fútbol, juegos infantiles y saloncito para eventos No dejes que te la ganen!! Otras Caracteristicas: Caseta de guardia: SI. Area de eventos: SI. Cancha(s): SI. Área de Juegos Infantiles: SI.","Mitras Poniente Ensenada, García, Nuevo León",970000.00
666625366,25,25.612748,-100.2642,3,2,115,157,"BAJA DE PRECIO!! Casa recién remodelada, con vista privilegiada. Excelente distribución de espacios. Calle Privada en Zona Sur, zona muy tranquila y segura y bien ubicada, con buenos accesos a las principales avenidas. Cuenta con 4 plantas. PRIMER NIVEL: Cochera doble, sala, comedor y cocina SEGUNDO NIVEL: 2 recámaras, lavanderia techada, cuarto de servicio TERCER NIVEL: Recamara principal CUERTO NIVEL: Patio Equipada con dos minisplits, (en área social 2 tons y 1 1/2 en recámara principal inverter) Para mas información favor de contactarnos. Expertos en Inmuebles Otras Caracteristicas: Patio: 1. Iluminación: SI. Gas: SI.","Villa Las Fuentes, Monterrey, Nuevo León",2890000.00
666625367,33,25.600342,-100.0446,4,3,500,250,"Excelente propiedad en venta, puede usarse como casa habitación o negocio, ya que muy cerca hay talleres, yonkes. autopartes, etc. Distribución Consta de 4 habitaciones, cocina, 3 baños completos, un cuarto al frente que fue local comercial en un tiempo. cuenta con servicios de agua y luz y bomba de agua, tiene arboles de limón, aguacate, cuenta con cochera para 2 autos o mas, sin techar. No cuenta con drenaje ni gas Otras Caracteristicas: Iluminación: SI. Calentador de agua: SI. Servicios básicos (agua/luz): SI. Pozo de Agua: SI. Centros Comerciales Cercanos: SI. Acceso discapacitados: SI. Acceso tercera edad: SI. Forma del terreno: Plano.","Cadereyta, Cadereyta Jiménez, Nuevo León",1200000.00
666625397,34,25.680177,-100.3991,4,2,120,171,"LA CASA ESTÁ EN OBRA GRIS EN LA MAYOR PARTE 
 
CUENTA EN LA PLANTA BAJA CON: 
 
SALA 
COMEDOR 
COCINA INTEGRAL DE CONCRETO FORRADA DE MOSAICO (NO CUENTA CON ESTUFA) 
BAÑO COMPLETO 
RECÁMARA 
AMPLIO PATIO EN DESNIVEL 
 
EN LA PLANTA ALTA: 
 
ESTANCIA 
BAÑO COMPLETO 
3 RECÁMARAS MUY AMPLIAS 
TERRAZA","Villas Del Obispo, San Pedro Garza García, Nuevo León",900000.00
666625405,26,25.647794,-100.2101,3,3,115,106,"La propiedad se encuentra en esquina y cuenta con terreno excedente. La calle es cerrada por lo que el tránsito es solo local. 
 
 
Ubicada en zona tranquila y muy cerca de vialidades tales como Prof. Israel Cavazos, Villa Olímpica y Eloy Cavazos. 
 
Así como también de supermercado, tienda de conveniencia, escuelas, etc 
 
 
 
Planta Baja 
 
* Cochera para dos autos con reja 
 
* Sala Comedor 
 
* Baño completo 
 
* Cocina integral con campana, tarja y mezcladora. 
 
* Lavandería techada 
 
* Patio con amplio pasillo lateral 
 
 
 
Planta Alta 
 
* Recámara principal con baño completo 
 
* 2 recámaras secundarias 
 
* Baño completo 
 
* Espacio que podría utilizarse como una pequeña bodega o closet extra 
 
 
 
La propiedad cuenta con puerta de seguridad, protectores de varilla solida de 3/4, cadillos de acero en toda la barda, recién impermeabilizada.","Collados De Guadalupe 2do Sector, Guadalupe, Nuevo León",1200000.00
666625406,27,25.712918,-100.1783,3,2,91,127,"Colonia Privada en Apodaca - Privada Castilla Con parque privado Equipada con: 2 minisplits, 2 abanicos de techo, persianas, lámparas de techo La casa cuenta con cochera para 2 autos, protectores Primer Piso: cocina, sala y comedor, medio baño, lavanderia y patio techado Segundo Piso: estancia y recamara principal con baño completo, 2 recamaras secundarias muy amplias con closets, comparten 1 baño completo. Para mas información favor de contactarnos Expertos en Inmuebles Otras Caracteristicas: Area de lavandería: SI. Caseta de guardia: SI. Internet/Wifi: SI. Seguridad privada: SI. Sala de estar: SI. Servicios básicos (agua/luz): SI. Área de Juegos Infantiles: SI. Gas: SI. Parque privado de la barriada: SI. Sala y Comedor: SI.","Apodaca, Nuevo León",1150000.00
666625407,27,25.791983,-100.1783,3,2,126,124,"Bonita casa en sector privado Bien ubicada, muy cerca de Camino Antiguo a Agua Fría, Blvd. Arco Vial, Carretera Monterrey - Reynosa y Carretera Miguel Alemán. Planta Baja: Sala - Comedor Cocina integral con barra y alacena. Material cuarzo y MDF de alto brillo Medio Baño Lavandería techada Patio de buen tamaño con pasillo de servicio Cochera techada para dos autos Barda de buena altura con sistema de cerca electrificada Planta Alta: Recámara principal con balcón y baño completo 2 recámaras secundarias, las cuales comparten baño Estancia Todas las ventanas cuentan con protección Otras Caracteristicas: Caseta de guardia: SI.","Residencial Apodaca, Apodaca, Nuevo León",1130000.00
666625418,25,25.729515,-100.3656,5,2,142,170,"CASA EN ESQUINA CON EXCELENTE UBICACIÓN Y CERCA DE TODO: VIALIDADES, HOSPITALES, CENTROS COMERCIALES, ESCUELAS, IGLESIAS, A 4 CUADRAS DE AV. LINCOLN. 
 
LA PROPIEDAD CUENTA EN LA PLANTA BAJA CON: 
 
- BARANDAL DE PROTECCIÓN 
- JARDÍN 
- PATIO TRASERO QUE SIRVE DE COCHERA SIN TECHAR 
- RECIBIDOR 
- BAÑO COMPLETO 
- 2 RECÁMARAS MUY AMPLIAS 
- AMPLIO ESPACIO PARA COLOCAR COCINA INTEGRAL Y ESTUFA 
- UNA DE LAS RECÁMARAS DE LA PLANTA BAJA ESTUVO HABILITADA COMO PEQUEÑA TIENDA DE ABARROTES CON PERMISO DE VENTA DE CERVEZA 
 
EN LA PLANTA ALTA: 
 
- ESTANCIA 
- TERRAZA 
3 RECÁMARAS AMPLIAS 
1 BAÑO COMPLETO 
 
EL PERMISO DE VENTA DE CERVEZA SOLO LO TIENE QUE ACTUALIZAR EL DUEÑO, PERO LO HACE DE INMEDIATO SI HAY ALGÚN INTERESADO EN UTILIZAR LA PROPIEDAD COMO COMERCIO. 
 
LA PROPIEDAD TIENE GRAVAMEN CON EL IMSS POR APROX. 80 MIL PESOS","Santa Cecilia, Monterrey, Nuevo León",1300000.00
